stone_id,name,runic,transliteration,translation,page_url,image_url
Sm 170,"Sm 170 - Småland: Skansen, Ljungby",᛫ ᚢᛂᚠᚢᛋ ᛫ ᛋᛅᛏᛁ ᛫ ᛋᛏᛁᚾ ᛫ ᛂᚠ ... ᛒᛁᚢᚱᚴ ᛫ ᚦᛁᛦᛅ ᛫ ᛋᚢᛋᛏᚢᚱ ...,* uefus * s(a)ti * stin * ef... ... ...biurk * þiRa * sustur ...--...,"Väfuss satte stenen efter ... -borg, deras syster ...",https://www.christerhamp.se/runor/gamla/sm/sm170.html,https://www.christerhamp.se/runor/gamla/sm/sm170s.jpg
Sm ATA 4278/31,"Sm ATA 4278/31 - Öland: Trånghalla, Bankeryd",,fnsutlR þia hor,-,https://www.christerhamp.se/runor/gamla/sm/smata4278-31.html,https://www.christerhamp.se/runor/gamla/sm/smata4278-31s.jpg
Sm IK 339,Sm IK 339 - Småland: Forsheda,,alweuiuiluuþ(þ)(a)uuuaewdaluuu,-,https://www.christerhamp.se/runor/gamla/sm/smik339.html,https://www.christerhamp.se/runor/gamla/sm/smik339s.jpg
Sm NOR 1997;25,"Sm NOR 1997;25 - Småland: kv. Harven, Jönköping",,kuþ : ...l-al^an,Gud ...,https://www.christerhamp.se/runor/gamla/sm/smnor1997-25.html,https://www.christerhamp.se/runor/gamla/sm/smnor1997-25s.jpg
Sm NOR 2002;25,"Sm NOR 2002;25 - Småland: Tovhult, Bredaryd",,... ...tin knut... ...,"... -sten, Knut ...",https://www.christerhamp.se/runor/gamla/sm/smnor2002-25.html,https://www.christerhamp.se/runor/gamla/sm/smnor2002-25s.jpg
Sm IVOS 1990;18,"Sm IVOS 1990;18 - Småland: Mjäryd, Södra Ljunga",᛬ ᚢᚠᛏᛁ,... : ufti- ...,... efter ...,https://www.christerhamp.se/runor/gamla/sm/smivos1990-18.html,https://www.christerhamp.se/runor/gamla/sm/smivos1990-18.jpg
Sm SvS 1973;4,Sm SvS 1973;4 - Småland: Mellby kyrka,ᚴᛂᚱᛘᚢᚾᛏᚱ × ᛚᛂᛏ ᚴᛁᛅᚱᛅ × ᚴᛁᛅᚱᛅ × ᚴᚢᛘᛚ  ᚦᛂᛏᛅ  ᛂᚠᛏᛁᛦ × ᛅᚢᚦᛂᛚᚠᛁ ×  ᛅᚢᚴ × ᚢᛅᚱᛁᚾ × ᚢᛁᚾᛁᚢᛏᚱ × ᛁᚠᛏᛁᛦ × ᛏᚱᚤᚴᚢᛚᚠ × ᚠᛅᚦᚢᚱ ᛋᛁᚾ × ᚴᚢᚦ ᚼᛁᛅᛚᛒᛁ × ᚭᚾᛏ × ᚦᛂᛁᛦᛅ ×,ke(r)munt(r) × let kiara × kiara × kum(l) : þeta : eftiR × auþelfi × auk × uarin × uiniutr × iftiR × trykulf × faþur sin × kuþ hialbi × ont × þeiRa ×,"Germund lät göra detta kummel efter Ödälv och Varin, Vinjut efter Tryggulf, sin fader. Gud hjälpe deras ande.",https://www.christerhamp.se/runor/gamla/sm/smsvs1973-4.html,https://www.christerhamp.se/runor/gamla/sm/smsvs1973-4s.jpg
Sö 2,"Sö 2 - Södermanland: Axala, Björnlunda",,sloþi rahnfriþ þaun * litu * hakua * stain * iftiR * ihulbiarn * sun * sin * hialbi * kristr ant * has,"Slode, Ragnfrid de lät hugga stenen efter Igulbörn, sin son. Kristus hjälpe hans ande.",https://www.christerhamp.se/runor/gamla/so/so2.html,https://www.christerhamp.se/runor/gamla/so/so2s.jpg
Sö 3,"Sö 3 - Södermanland: Vänga, Björnlunda",,kefluk · auk · kula · þau · lit[u · raisa ... ...isa · at · sty]fialt · sun · sin · broþur · iluka,"Gevlög och Gylla lät resa denna sten efter Styviald, sin son, broder till Illuge",https://www.christerhamp.se/runor/gamla/so/so3.html,https://www.christerhamp.se/runor/gamla/so/so3s.jpg
Sö 7,"Sö 7 - Södermanland: Öja, Björnlunda",,· suainalti : auk : suainunkR : auk : asi : auk : gas : þau : litu : raisa : stain : at : biarn : faþur : sin : nytan : kuþ : hialbi : ant : hns auk : gus moþiR,"Svenaide och Svenung och Äse och Gas, de läto resa stenen efter Björn, sin idoge fader. Gud hjälpe hans ande och Guds moder!",https://www.christerhamp.se/runor/gamla/so/so7.html,https://www.christerhamp.se/runor/gamla/so/so7s.jpg
